iter	Passed	Remaining
752	1021	334
753	1021	333
754	1022	331
755	1023	330
756	1025	329
757	1026	327
758	1029	326
759	1033	326
760	1035	325
761	1037	324
762	1038	322
763	1040	321
764	1041	319
765	1043	318
766	1044	317
767	1045	315
768	1046	314
769	1048	313
770	1049	311
771	1050	310
772	1052	309
773	1053	307
774	1056	306
775	1057	305
776	1058	303
777	1060	302
778	1062	301
779	1063	299
780	1065	298
781	1066	297
782	1068	296
783	1069	294
784	1072	293
785	1073	292
786	1074	290
787	1076	289
788	1077	288
789	1079	286
790	1080	285
791	1082	284
792	1083	282
793	1084	281
794	1085	280
795	1086	278
796	1088	277
797	1090	275
798	1092	274
799	1093	273
800	1094	271
801	1096	270
802	1097	269
803	1098	267
804	1100	266
805	1101	265
806	1102	263
807	1104	262
808	1106	261
809	1107	259
810	1108	258
811	1110	257
812	1118	257
813	1120	256
814	1122	254
815	1123	253
816	1124	251
817	1125	250
818	1127	249
819	1127	247
820	1128	246
821	1129	244
822	1131	243
823	1132	241
824	1133	240
825	1134	239
826	1136	237
827	1138	236
828	1139	234
829	1140	233
830	1141	232
831	1143	230
832	1145	229
833	1146	228
834	1147	226
835	1149	225
836	1150	224
837	1152	222
838	1153	221
839	1154	219
840	1155	218
841	1157	217
842	1158	215
843	1160	214
844	1161	213
845	1162	211
846	1163	210
847	1164	208
848	1165	207
849	1165	205
850	1166	204
851	1168	202
852	1169	201
853	1171	200
854	1172	198
855	1173	197
856	1177	196
857	1178	195
858	1179	193
859	1181	192
860	1182	190
861	1184	189
862	1185	188
863	1186	186
864	1188	185
865	1189	184
866	1190	182
867	1192	181
868	1193	179
869	1195	178
870	1196	177
871	1200	176
872	1201	174
873	1203	173
874	1204	172
875	1206	170
876	1206	169
877	1208	167
878	1210	166
879	1212	165
880	1214	163
881	1215	162
882	1216	161
883	1217	159
884	1217	158
885	1218	156
886	1220	155
887	1221	154
888	1222	152
889	1223	151
890	1224	149
891	1225	148
892	1227	147
893	1228	145
894	1230	144
895	1231	142
896	1232	141
897	1234	140
898	1237	139
899	1238	137
900	1239	136
901	1241	134
902	1242	133
903	1244	132
904	1246	130
905	1248	129
906	1249	128
907	1250	126
908	1252	125
909	1254	124
910	1255	122
911	1256	121
912	1258	119
913	1259	118
914	1261	117
915	1262	115
916	1264	114
917	1265	113
918	1266	111
919	1267	110
920	1269	108
921	1270	107
922	1271	106
923	1272	104
924	1273	103
925	1274	101
926	1275	100
927	1276	99
928	1277	97
929	1278	96
930	1279	94
931	1281	93
932	1282	92
933	1283	90
934	1285	89
935	1286	87
936	1288	86
937	1290	85
938	1291	83
939	1291	82
940	1292	81
941	1292	79
942	1292	78
943	1293	76
944	1293	75
945	1294	73
946	1294	72
947	1295	71
948	1295	69
949	1295	68
950	1296	66
951	1296	65
952	1297	63
953	1298	62
954	1299	61
955	1299	59
956	1300	58
957	1300	57
958	1300	55
959	1301	54
960	1301	52
961	1302	51
962	1303	50
963	1303	48
964	1304	47
965	1304	45
966	1304	44
967	1305	43
968	1305	41
969	1306	40
970	1307	39
971	1308	37
972	1308	36
973	1309	34
974	1309	33
975	1310	32
976	1310	30
977	1310	29
978	1311	28
979	1311	26
980	1312	25
981	1312	24
982	1313	22
983	1313	21
984	1314	20
985	1314	18
986	1315	17
987	1316	15
988	1316	14
989	1317	13
990	1317	11
991	1318	10
992	1318	9
993	1318	7
994	1319	6
995	1319	5
996	1320	3
997	1320	2
998	1321	1
999	1321	0
